Tranche,Province de Flandre orientale,Province de Flandre occidentale,Province du Brabant flamand,Province d’Anvers,Province du Hainaut,Province de Liège,Province du Limbourg,Province du Luxembourg,Province du Brabant wallon,Province de Namur,Bruxelles
young,0.00029814236180397257,0.0002192920149294644,0.00022330976761450095,0.00018421959913721478,0.0002182185793079799,0.00012166213577879359,0.00014678179559091318,0.0002677948235830378,0.0002864775210286129,0.0002486264902429263,0.00018497599024019657
adult,0.0003005234778769358,0.00026061726358178497,0.00021900215487934255,0.0002406894394464705,0.00028312130884909463,0.00014620508086407732,0.0001596319708486426,0.0002884505597743676,0.0003059823203708096,0.0002744670274396349,0.0003125290356367568
senior,0.00020405270062220788,0.00017615105840841373,0.00013024362598254737,0.0001586415051058254,0.0002201115347092971,0.00012243111410737472,0.00011719356450267341,0.00019376171521240075,0.0002292247190206374,0.00022987358114014974,0.00029073266483338423
old,0.00020858369475642546,0.000163856527224762,8.889927711902414e-05,0.00012154084324791509,0.00022971506180341882,0.00013120202925805252,9.418903865643732e-05,0.00012654253000698328,0.00020275750202757503,0.00019428551501851938,0.0002197468574030837
centanarian,0.000328709486555782,0.00017994469068454748,0.00020684536483872145,7.923741907878577e-05,0.00013228533947725243,0.0002269600124828007,1.9255579304103363e-05,0.00040032025620496394,0.0006118849656264622,0.0001601178467351971,0.0003114515055848918
